character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
的,,,de,"possessive, adjectival suffix",1,1
一,,,yī,"one; a, an; alone",1,2
是,,,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1,3
不,,,bù,"no, not; un-; negative prefix",1,4
了,,,le,to finish; particle of completed action,1,5
在,,,zài,"be at, in, on; consist in, rest",1,6
人,,,rén,man; people; mankind; someone else,1,7
有,,,yǒu,"have, own, possess; exist",1,8
我,,,wǒ,"our, us, i, me, my, we",1,9
他,,,tā,"other, another; he, she, it",1,10
这,這,這,zhè,"this, the, here",1,11
个,個,個,gè,"numerary adjunct, piece; single",1,12
们,們,們,men,adjunct pronoun indicate plural,1,13
中,,,zhōng,"central; center, middle; in the midst of; hit (target); attain",1,14
来,來,來,lái,"come, coming; return, returning",1,15
上,,,shàng,"top; superior, highest; go up, send up",1,16
大,,,dà,"big, great, vast, large, high",1,17
为,爲,為|爲,wèi,"do, handle, govern, act; be",2,18
和,,,hé,"harmony, peace; peaceful, calm",1,19
国,國,國,guó,"nation, country, nation-state",1,20
地,,,de,"earth; soil, ground; region",3,21
到,,,dào,"go to, arrive, been to",2,22
以,,,yǐ,"by means of; thereby, therefore; consider as; in order to",2,23
说,說,說,shuō,"speak, say, talk; scold, upbraid",1,24
时,時,時,shí,"time, season; era, age, period",1,25
要,,,yào,"necessary, essential; necessity",2,26
就,,,jiù,"just, simply; to come, go to; to approach, near",2,27
出,,,chū,"go out, send out; stand; produce",1,28
会,會,會,huì,"assemble, meet together; meeting",1,29
可,,,kě,"may, can, -able; possibly",2,30
也,,,yě,also; classical final particle of strong affirmation or identity,2,31
你,,,nǐ,"you, second person pronoun",1,32
对,對,對,duì,"correct, right; facing, opposed",1,33
生,,,shēng,"life, living, lifetime; birth",1,34
能,,,néng,"to be able; can, permitted to; ability",1,35
而,,,ér,and; and then; and yet; but,3,36
子,,,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1,37
那,,,nà,"that, that one, those",1,38
得,,,dé,"obtain, get, gain, acquire",2,39
于,於,於,yú,"in, on, at; go to; surname",3,40
着,,,zhe,"make move, take action",2,41
下,,,xià,"under, underneath, below; down; inferior; bring down",1,42
自,,,zì,"self, private, personal; from",3,43
之,,,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",4,44
年,,,nián,,1,45
过,過,過,guò,"pass, pass through, go across",2,46
发,發,發|髮,fā,"issue, dispatch, send out; hair",3,47
后,後,後,hòu,"queen, empress, sovereign; (simp. for",1,48
作,,,zuò,"make; work; compose, write; act, perform",1,49
里,裏,裏|裡,lǐ,unit of distance; village; lane,1,50
用,,,yòng,"use, employ, apply, operate; use",3,51
道,,,dào,"path, road, street; method, way",2,52
行,,,xíng,"go; walk; move, travel; circulate",3,53
所,,,suǒ,"place, location; numerary adjunct",2,54
然,,,rán,"yes, certainly; pledge, promise",2,55
家,,,jiā,"house, home, residence; family",1,56
种,種,種,zhǒng,"seed; race, breed; to plant",3,57
事,,,shì,"affair, matter, business; to serve; accident, incident",2,58
成,,,chéng,"completed, finished, fixed",3,59
方,,,fāng,"a square, rectangle; a region; local",3,60
多,,,duō,"much, many; more than, over",1,61
经,經,經,jīng,classic works; pass through,2,62
么,麼,麼,me,interrogative particle; repetition of a tune small; tender,1,63
去,,,qù,"go away, leave, depart",1,64
法,,,fǎ,"law, rule, regulation, statute; France, French",3,65
学,學,學,xué,"learning, knowledge; school",1,66
如,,,rú,"if, supposing; as if; like, as",3,67
都,,,dōu,"metropolis, capital; all, the whole; elegant, refined",1,68
同,,,tóng,"same, similar; together with",1,69
现,現,現,xiàn,"appear, manifest, become visible",1,70
当,當,當,dāng,"bear, accept, undertake; just",3,71
没,沒,沒,méi,"not, have not, none; drown, sink",1,72
动,動,動,dòng,"move, happen; movement, action",2,73
面,,麵,miàn,"face; surface; plane; side, dimension",1,74
起,,,qǐ,"rise, stand up; go up; begin",1,75
看,,,kàn,"look, see; examine, scrutinize",1,76
定,,,dìng,"decide, settle, fix",3,77
天,,,tiān,"sky, heaven; god, celestial",1,78
分,,,fēn,divide; small unit of time etc.,1,79
还,還,還,hái,"still, yet, also, besides",2,80
进,進,進,jìn,"advance, make progress, enter",2,81
好,,,hǎo,"good, excellent, fine; well",1,82
小,,,xiǎo,"small, tiny, insignificant",1,83
部,,,bù,"part, division, section",4,84
其,,,qí,"his, her, its, their; that",3,85
些,,,xiē,"little, few; rather, somewhat",1,86
主,,,zhǔ,"master, chief owner; host; lord",3,87
样,樣,樣,yàng,"shape, form, pattern, style",1,88
理,,,lǐ,"reason, logic; manage",3,89
心,,,xīn,"heart; mind, intelligence; soul",3,90
她,,,tā,"she, her",1,91
本,,,běn,"root, origin, source; basis",1,92
前,,,qián,"in front, forward; preceding",1,93
开,開,開,kāi,"open; initiate, begin, start",1,94
但,,,dàn,"only; but, however, yet, still",2,95
因,,,yīn,"cause, reason; by; because (of)",2,96
只,,隻,zhǐ,"only, just, simply",3,97
从,從,從,cóng,"from, by, since, whence, through",2,98
想,,,xiǎng,"think, speculate, plan, consider",1,99
实,實,實,shí,"real, true; honest, sincere",3,100
日,,,rì,sun; day; daytime,2,101
军,軍,軍,jūn,"army, military; soldiers, troops",5,102
者,,,zhě,that which; he who; those who,3,103
意,,,yì,"thought, idea, opinion; think",2,104
无,無,無,wú,"negative, no, not; KangXi radical 71",4,105
力,,,lì,"power, capability, influence",3,106
它,,,tā,it; other,2,107
与,與,與,yǔ,"and; with; to; for; give, grant",4,108
长,長,長,zhǎng,long; length; excel in; leader,2,109
把,,,bǎ,"hold, take; guard; regard as",3,110
机,機,機,jī,desk; machine; moment,1,111
十,,,shí,"ten, tenth; complete; perfect",1,112
民,,,mín,"people, subjects, citizens",4,113
第,,,dì,"sequence, number; grade, degree",2,114
公,,,gōng,"fair, equitable; public; duke",2,115
此,,,cǐ,"this, these; in this case, then",4,116
已,,,yǐ,already; finished; stop,2,117
工,,,gōng,"labor, work; worker, laborer",1,118
使,,,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",4,119
情,,,qíng,"feeling, sentiment, emotion",2,120
明,,,míng,"bright, light, brilliant; clear",1,121
性,,,xìng,"nature, character, sex",4,122
知,,,zhī,"know, perceive, comprehend",2,123
全,,,quán,"maintain, keep whole or intact",4,124
三,,,sān,three,1,125
又,,,yòu,"and, also, again, in addition",3,126
关,關,關,guān,frontier pass; close; relation,1,127
点,點,點,diǎn,"dot, speck, spot; point, degree",1,128
正,,,zhèng,"right, proper, correct",2,129
业,業,業,yè,"profession, business; GB radical 111",3,130
外,,,wài,"out, outside, external; foreign",2,131
将,將,將,jiāng,"will, going to, future; general",4,132
两,兩,兩,liǎng,"two, both, pair, couple; ounce",2,133
高,,,gāo,"high, tall; lofty, elevated",1,134
间,間,間,jiān,"midpoint, space; place, locality",2,135
由,,,yóu,"cause, reason; from",4,136
问,問,問,wèn,"ask about, inquire after",2,137
很,,,hěn,"very, quite, much",1,138
最,,,zuì,"most, extremely, exceedingly",2,139
重,,,zhòng,"heavy, weighty; double",3,140
并,並,並,bìng,,4,141
物,,,wù,"thing, substance, creature",3,142
手,,,shǒu,hand,2,143
应,應,應,yīng,"should, ought to, must",3,144
战,戰,戰,zhàn,"war, fighting, battle",5,145
向,,,xiàng,"toward, direction, trend",3,146
头,頭,頭,tóu,"head; top; chief, first; boss",3,147
文,,,wén,"literature, culture, writing",3,148
体,體,體,tǐ,"body; group, class, body, unit; inferior",2,149
政,,,zhèng,"government, political affairs",5,150
美,,,měi,"beautiful, pretty; pleasing",4,151
相,,,xiāng,"mutual, reciprocal, each other",3,152
见,見,見,jiàn,"see, observe, behold; perceive",1,153
被,,,bèi,,3,154
利,,,lì,"gains, advantage, profit, merit",4,155
什,,,shén,"file of ten soldiers; mixed, miscellaneous",1,156
二,,,èr,two; twice,1,157
等,,,děng,,2,158
产,產,產,chǎn,"give birth, bring forth, produce",5,159
或,,,huò,"or, either, else; perhaps, maybe",3,160
新,,,xīn,"new, recent, fresh, modern",2,161
己,,,jǐ,"self, oneself; personal, private; 6th heavenly stem",3,162
制,,,zhì,system; establish; overpower,5,163
身,,,shēn,"body; trunk, hull; rad. no. 158",2,164
果,,,guǒ,fruit; result,1,165
加,,,jiā,"add to, increase, augment",3,166
西,,,xī,"west(ern); westward, occident",1,167
斯,,,sī,"this, thus, such; to lop off; emphatic particle",6,168
月,,,yuè,moon; month; KangXi radical 74,1,169
话,話,話,huà,"speech, talk, language; dialect",1,170
合,,,hé,"combine, unite, join; gather",4,171
回,,,huí,"return, turn around; a time",1,172
特,,,tè,"special, unique, distinguished",3,173
代,,,dài,"replace, replacement (of person or generation); era, generation",5,174
内,內,內,nèi,inside,4,175
信,,,xìn,"trust, believe; letter",3,176
表,,,biǎo,"show, express, manifest, display",2,177
化,,,huà,"change, convert, reform; -ize",3,178
老,,,lǎo,"old, aged; experienced",1,179
给,給,給,gěi,"give; by, for",2,180
世,,,shì,generation; world; era,3,181
位,,,wèi,"throne; position, post; rank, status; seat",3,182
次,,,cì,"order, sequence; next",2,183
度,,,dù,"degree, system; manner; to consider",4,184
门,門,門,mén,"gate, door, entrance, opening",2,185
任,,,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",4,186
常,,,cháng,"common, normal, frequent, regular",2,187
先,,,xiān,"first, former, previous",1,188
海,,,hǎi,"sea, ocean; maritime",4,189
通,,,tōng,"pass through, common, communicate",4,190
教,,,jiào,"teach, class",2,191
儿,兒,兒,ér,"son, child; KangXi radical 10",1,192
原,,,yuán,"source, origin, beginning",4,193
东,東,東,dōng,"east, eastern, eastward",1,194
声,聲,聲,shēng,"sound, voice, noise; tone; music",3,195
提,,,tí,hold in hand; lift in hand,3,196
立,,,lì,"stand; let stand; establish, set",5,197
及,,,jí,extend; reach; come up to; and,4,198
比,,,bǐ,"to compare, liken; comparison; than",2,199
员,員,員,yuán,"member; personnel, staff member",2,200
解,,,jiě,"loosen, unfasten, untie; explain",3,201
水,,,shuǐ,"water, liquid, lotion, juice",1,202
名,,,míng,"name, rank, title, position",1,203
真,,,zhēn,"real, actual, true, genuine",2,204
论,論,論,lùn,debate; discuss; discourse,4,205
处,處,處,chù,"place, locale; department",4,206
走,,,zǒu,"walk, go on foot; run; leave",2,207
义,義,義,yì,"right conduct, righteousness",5,208
各,,,gè,"each, individually, every, all",4,209
入,,,rù,"enter, come in(to), join",4,210
几,幾,幾,jǐ,small table,1,211
口,,,kǒu,"mouth; open end; entrance, gate",3,212
认,認,認,rèn,"recognize, know, understand",1,213
条,條,條,tiáo,"clause, condition; string, stripe",2,214
平,,,píng,"flat, level, even; peaceful",3,215
系,,,xì,"system; line, link, connection",1,216
气,氣,氣,qì,"steam, vapor; KangXi radical 84",1,217
题,題,題,tí,"forehead; title, headline; theme",2,218
活,,,huó,"live, exist, survive; lively",4,219
尔,爾,爾,ěr,"you; that, those; final particle",4,220
更,,,gèng,"more, still further, much more",3,221
别,別,別,bié,"separate, other; do not",2,222
打,,,dǎ,"strike, hit, beat; fight; attack",1,223
女,,,nǚ,"woman, girl; feminine; rad. 38",1,224
变,變,變,biàn,"change, transform, alter; rebel",3,225
四,,,sì,four,1,226
神,,,shén,"spirit, god, supernatural being",5,227
总,總,總,zǒng,"collect; overall, altogether",3,228
何,,,hé,"what, why, where, which, how",4,229
电,電,電,diàn,electricity; electric; lightning,1,230
数,數,數,shù,"number; several, count; fate",3,231
安,,,ān,"peaceful, tranquil, quiet",3,232
少,,,shǎo,"few, less, inadequate",1,233
报,報,報,bào,"report, tell, announce",2,234
才,,,cái,"talent, ability; just, only",3,235
结,結,結,jié,"knot, tie; join, connect",3,236
反,,,fǎn,"reverse, opposite, contrary, anti",4,237
受,,,shòu,"receive, accept, get; bear, stand",4,238
目,,,mù,"eye; look, see; division, topic",3,239
太,,,tài,"very, too, much; big; extreme",1,240
量,,,liàng,"measure, quantity, capacity",4,241
再,,,zài,"again, twice, re-",1,242
感,,,gǎn,"feel, perceive, emotion",3,243
建,,,jiàn,"build, establish, erect, found",4,244
务,務,務,wù,"affairs, business; must, should",2,245
做,,,zuò,"work, make; act",1,246
接,,,jiē,receive; continue; catch; connect,3,247
必,,,bì,"surely, most certainly; must",3,248
场,場,場,chǎng,"open space, field, market",2,249
件,,,jiàn,numerary adjunct for article; matter,2,250
计,計,計,jì,"plan, plot; strategem; scheme",4,251
管,,,guǎn,"pipe, tube, duct; woodwind music",4,252
期,,,qī,period of time; date; time limit,1,253
市,,,shì,"market, fair; city, town; trade",3,254
直,,,zhí,"straight, erect, vertical",3,255
德,,,dé,"ethics, morality, virtue",5,256
资,資,資,zī,property; wealth; capital,4,257
命,,,mìng,"life; destiny, fate, luck; an order, instruction",4,258
山,,,shān,"mountain, hill, peak",3,259
金,,,jīn,gold; metals in general; money,4,260
指,,,zhǐ,"finger, toe; point, indicate",4,261
克,,,kè,gram; overcome; transliteration,4,262
许,許,許,xǔ,"allow, permit; promise; betroth",4,263
统,統,統,tǒng,"govern, command, control; unite",5,264
区,區,區,qū,"area, district, region, ward",4,265
保,,,bǎo,"protect, safeguard, defend, care",4,266
至,,,zhì,"reach, arrive; extremely, very",4,267
队,隊,隊,duì,"team, group; army unit",4,268
形,,,xíng,"form, shape, appearance",5,269
社,,,shè,"god of the soil and altars to him; group of families; company, society",4,270
便,,,biàn,"convenience, ease; expedient",2,271
空,,,kōng,"empty, hollow, bare, deserted",3,272
决,決,決,jué,"decide, determine, judge",3,273
治,,,zhì,"govern, regulate, administer",5,274
展,,,zhǎn,"open, unfold; stretch, extend",4,275
马,馬,馬,mǎ,horse; surname; KangXi radical 187,3,276
科,,,kē,"section, department, science",4,277
司,,,sī,"take charge of, control, manage; officer",2,278
五,,,wǔ,five; surname,1,279
基,,,jī,"foundation, base",4,280
眼,,,yǎn,"eye; eyelet, hole, opening",2,281
书,書,書,shū,"book, letter, document; writings",1,282
非,,,fēi,"not, negative, non-; oppose",2,283
则,則,則,zé,"rule, law, regulation; grades",4,284
听,聽,聽,tīng,"hear; understand; obey, comply",1,285
白,,,bái,"white; pure, unblemished; bright",2,286
却,卻,卻,què,"still, but; decline; retreat",4,287
界,,,jiè,"boundary, limit; domain; society; the world",3,288
达,達,達,dá,"arrive at, reach; intelligent; smooth, slippery",5,289
光,,,guāng,"light, brilliant, shine; only",4,290
放,,,fàng,"put, release, free, liberate",3,291
强,強,強,qiáng,"strong, powerful, energetic",5,292
即,,,jí,"promptly, quickly, immediately",4,293
像,,,xiàng,"a picture, image, figure; to resemble",3,294
难,難,難,nán,"difficult, arduous, hard; unable",3,295
且,,,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",3,296
权,權,權,quán,"power, right, authority",5,297
思,,,sī,"think, consider, ponder; final particle",2,298
王,,,wáng,"king, ruler; royal; surname",5,299
象,,,xiàng,"elephant; ivory; figure, image",4,300
完,,,wán,"complete, finish, settle; whole",2,301
设,設,設,shè,build; establish; display,5,302
式,,,shì,"style, system, formula, rule",4,303
色,,,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",2,304
路,,,lù,"road, path, street; journey",2,305
记,記,記,jì,"record; keep in mind, remember",3,306
南,,,nán,south; southern part; southward,3,307
品,,,pǐn,"article, product, commodity",5,308
住,,,zhù,"reside, live at, dwell, lodge; stop",1,309
告,,,gào,"tell, announce, inform; accuse",2,310
类,類,類,lèi,"class, group, kind, category",5,311
求,,,qiú,"seek; demand, request; beseech",3,312
据,據,據,jù,"to occupy, take possession of; a base, position",3,313
程,,,chéng,"journey, trip; schedule, agenda",4,314
北,,,běi,north; northern; northward,1,315
边,邊,邊,biān,"edge, margin, side, border",2,316
死,,,sǐ,die; dead; death,4,317
张,張,張,zhāng,"stretch, extend, expand; sheet",3,318
该,該,該,gāi,"should, ought to, need to",3,319
交,,,jiāo,"mix; intersect; exchange, communicate; deliver",4,320
规,規,規,guī,"rules, regulations, customs, law",4,321
万,萬,萬,wàn,ten thousand; innumerable,3,322
取,,,qǔ,"take, receive, obtain; select",4,323
拉,,,lā,"pull, drag; seize, hold; lengthen",4,324
格,,,gé,"pattern, standard, form; style",4,325
望,,,wàng,"to look at, look forward; to hope, expect",2,326
觉,覺,覺,jué,to wake up from sleep; conscious,1,327
术,術,術,shù,"art, skill, special feat; method, technique",4,328
领,領,領,lǐng,"neck; collar; lead, guide",5,329
共,,,gòng,"together with, all, total; to share",2,330
确,確,確,què,"sure, certain; real, true",4,331
传,傳,傳,chuán,"summon; propagate, transmit",4,332
师,師,師,shī,"teacher, master, specialist",1,333
观,觀,觀,guān,"see, observe, view; appearance",4,334
清,,,qīng,"clear, pure, clean; peaceful",3,335
今,,,jīn,"now, today, modern era",1,336
切,,,qiè,"cut, mince, slice, carve",4,337
院,,,yuàn,"courtyard, yard, court; school",1,338
让,讓,讓,ràng,"allow, permit, yield, concede",2,339
识,識,識,shí,"recognize, understand, know",1,340
候,,,hòu,wait; expect; visit; greet,1,341
带,帶,帶,dài,"belt, girdle, band, strap, zone",3,342
导,導,導,dǎo,"direct, guide, lead, conduct",4,343
争,爭,爭,zhēng,"dispute, fight, contend, strive",4,344
运,運,運,yùn,run; simplified form of,2,345
笑,,,xiào,"smile, laugh, giggle; snicker",2,346
飞,飛,飛,fēi,fly; go quickly; dart; high,1,347
风,風,風,fēng,"wind; air; manners, atmosphere",3,348
步,,,bù,"step, pace; walk, stroll",2,349
改,,,gǎi,"change, alter; improve, remodel",4,350
收,,,shōu,"gather together, collect; harvest",4,351
根,,,gēn,"root, base(d on); foundation",3,352
干,幹,乾|幹,gàn,"oppose, offend; invade; dried",3,353
造,,,zào,"construct, build, make, begin; prepare",5,354
言,,,yán,"words, speech; speak, say",4,355
联,聯,聯,lián,"connect, join; associate, ally",4,356
持,,,chí,"sustain, support; hold, grasp",4,357
组,組,組,zǔ,"class; section, department",5,358
每,,,měi,"every, each",2,359
济,濟,濟,jì,"help, aid, relieve; ferry, cross",4,360
车,車,車,chē,"cart, vehicle; carry in cart",1,361
亲,親,親,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",4,362
极,極,極,jí,"extreme, utmost, furthest, final",3,363
林,,,lín,"forest, grove; surname",4,364
服,,,fú,"clothes; wear, dress",1,365
快,,,kuài,"rapid, quick, speedy, fast; soon",2,366
办,辦,辦,bàn,"manage, do, handle; deal with",3,367
议,議,議,yì,"consult, talk over, discuss",3,368
往,,,wǎng,"go, depart; past, formerly",2,369
元,,,yuán,first; dollar; origin; head,3,370
英,,,yīng,"petal, flower, leaf; brave, a hero; England, English",5,371
士,,,shì,"scholar, gentleman; soldier",4,372
证,證,證,zhèng,"prove, confirm, verify; proof",4,373
近,,,jìn,"near, close; approach; intimate",2,374
失,,,shī,"lose; make mistake, neglect",4,375
转,轉,轉,zhuǎn,"shift, move, turn",4,376
夫,,,fū,"man, male adult, husband; those",2,377
令,,,lìng,,5,378
准,準,準,zhǔn,"approve, allow, permit; in accord",2,379
布,,,bù,"cotton cloth, textiles, linen",5,380
始,,,shǐ,"begin, start; then, only then",2,381
怎,,,zěn,what? why? how?,1,382
呢,,,ne,interrogative or emphatic final; (Cant.) this,1,383
存,,,cún,"exist, live, be; survive; remain",4,384
未,,,wèi,not yet; 8th terrestrial branch,5,385
远,遠,遠,yuǎn,"distant, remote, far; profound",2,386
叫,,,jiào,"cry, shout; hail, greet, call",1,387
台,臺,檯|臺,tái,platform; unit; term of address,4,388
单,單,單,dān,"single, individual, only; lone",3,389
影,,,yǐng,"shadow; image, reflection; photograph",1,390
具,,,jù,"tool, implement; draw up, write",4,391
罗,羅,羅,luō,net for catching birds; gauze,,392
字,,,zì,"letter, character, word",1,393
爱,愛,愛,ài,"love, be fond of, like",1,394
击,擊,擊,jī,"strike, hit, beat; attack, fight",5,395
流,,,liú,"flow, circulate, drift; class",4,396
备,備,備,bèi,"prepare, ready, perfect",2,397
兵,,,bīng,"soldier, troops",5,398
连,連,連,lián,"join, connect; continuous; even",4,399
调,調,調,diào,"transfer, move, change; tune",3,400
深,,,shēn,"deep; depth; far; very, extreme",4,401
商,,,shāng,"commerce, business, trade",1,402
算,,,suàn,"count, calculate, figure; plan",3,403
质,質,質,zhì,"matter, material, substance",4,404
团,團,團,tuán,"sphere, ball, circle; mass, lump",5,405
集,,,jí,"assemble, collect together",5,406
百,,,bǎi,"one hundred; numerous, many",2,407
需,,,xū,"need, require, must",3,408
价,價,價,jià,"price, value",4,409
花,,,huā,flower; blossoms,3,410
党,黨,黨,dǎng,"political party, gang, faction",6,411
华,華,華,huá,flowery; illustrious; Chinese,5,412
城,,,chéng,"castle; city, town; municipality",3,413
石,,,shí,"stone, rock, mineral; rad. 112",5,414
级,級,級,jí,"level, rank, class; grade",3,415
整,,,zhěng,"orderly, neat, tidy; whole",4,416
府,,,fǔ,prefecture; prefect; government,5,417
离,離,離,lí,rare beast; strange; elegant,2,418
况,況,況,kuàng,"condition, situation; furthermore",4,419
亚,亞,亞,yà,Asia; second,4,420
请,請,請,qǐng,"ask, request; invite; please",1,421
技,,,jì,"skill, ability, talent, ingenuity",4,422
际,際,際,jì,"border, boundary, juncture",4,423
约,約,約,yuē,"treaty, agreement, covenant",4,424
示,,,shì,"show, manifest; demonstrate",4,425
复,復,復,fù,return; repeat; repeatedly,3,426
病,,,bìng,"illness, sickness, disease",2,427
息,,,xī,"rest, put stop to, end, cease",2,428
究,,,jiū,"examine, investigate",4,429
线,線,線,xiàn,"line, thread, wire; clue",4,430
似,,,shì,"resemble, similar to; as if, seem",5,431
官,,,guān,"official, public servant",5,432
火,,,huǒ,"fire, flame; burn; anger, rage",2,433
断,斷,斷,duàn,"sever, cut off; interrupt",4,434
精,,,jīng,essence; semen; spirit,4,435
满,滿,滿,mǎn,"fill; full, satisfied",3,436
支,,,zhī,"disperse, pay; support; branch",4,437
视,視,視,shì,"look at, inspect, observe, see",1,438
消,,,xiāo,"vanish, die out; melt away",4,439
越,,,yuè,"exceed, go beyond; the more ...",3,440
器,,,qì,"receptacle, vessel; instrument",5,441
容,,,róng,"looks, appearance; figure, form",3,442
照,,,zhào,"shine, illumine, reflect",3,443
须,須,須,xū,"must, have to, necessary",3,444
九,,,jiǔ,nine,1,445
增,,,zēng,"increase, add to, augment",4,446
研,,,yán,"grind, rub; study, research",4,447
写,寫,寫,xiě,"write; draw, sketch; compose",1,448
称,稱,稱,chēng,"call; name, brand; address; say",5,449
企,,,qǐ,plan a project; stand on tiptoe,5,450
八,,,bā,"eight; all around, all sides",1,451
功,,,gōng,"achievement, merit, good result",4,452
吗,嗎,嗎,ma,final interrogative particle,1,453
包,,,bāo,"wrap, pack, bundle; package",3,454
片,,,piàn,"slice, splinter, strip; rad. 91",3,455
史,,,shǐ,"history, chronicle, annals",3,456
委,,,wěi,"appoint, send, commission",5,457
乎,,,hū,interrogative or exclamatory final particle,3,458
查,,,chá,"investigate, examine, seek into",3,459
轻,輕,輕,qīng,"light; easy, simple; gentle",3,460
易,,,yì,change; easy,3,461
早,,,zǎo,early; soon; morning,2,462
曾,,,céng,already; sign of past,5,463
除,,,chú,"eliminate, remove, except",3,464
农,農,農,nóng,"agriculture, farming; farmer",5,465
找,,,zhǎo,"search, seek, look for; find",2,466
装,裝,裝,zhuāng,"dress, clothes, attire; fill",5,467
广,廣,廣,guǎng,"wide, extensive, broad; rad. 53",4,468
显,顯,顯,xiǎn,"manifest, display; evident, clear",5,469
吧,,,ba,emphatic final particle,2,470
阿,,,ā,,3,471
李,,,lǐ,plum; judge; surname,3,472
标,標,標,biāo,"mark, symbol, label, sign; stand the bole of a tree",4,473
谈,談,談,tán,talk; conversation; surname,4,474
吃,喫,喫,chī,"eat; drink; suffer, endure, bear",1,475
图,圖,圖,tú,"diagram; chart, map, picture",3,476
念,,,niàn,"think of, recall, study",5,477
六,,,liù,number six,1,478
引,,,yǐn,"to pull, draw out, attract; to stretch",4,479
历,歷,歷,lì,history; calendar,3,480
首,,,shǒu,"head; first; leader, chief; a poem",4,481
医,醫,醫,yī,"cure, heal; doctor, medical",1,482
局,,,jú,"bureau, office; circumstance",4,483
突,,,tū,"suddenly, abruptly, unexpectedly",3,484
专,專,專,zhuān,"monopolize, take sole possession",4,485
费,費,費,fèi,"expenses, expenditures, fee",4,486
号,號,號,hào,"mark, sign; symbol; number",1,487
尽,盡,盡,jǐn,"exhaust, use up; deplete",4,488
另,,,lìng,"another, separate, other",4,489
周,,,zhōu,Zhou dynasty; circumference,3,490
较,較,較,jiào,"compare; comparatively, more",3,491
注,,,zhù,"concentrate, focus, direct",3,492
语,語,語,yǔ,"language, words; saying, expression",1,493
仅,僅,僅,jǐn,"only, merely, solely, just",4,494
考,,,kǎo,"examine, test; investigate",2,495
落,,,luò,"fall, drop; net income, surplus",4,496
青,,,qīng,"blue, green, black; young",5,497
随,隨,隨,suí,"follow, listen to, submit to",4,498
选,選,選,xuǎn,"choose, select; elect; election",3,499
列,,,liè,"a line; to arrange in order, classify",4,500
武,,,wǔ,"military; martial, warlike",5,501
红,紅,紅,hóng,"red, vermillion; blush, flush",2,502
响,響,響,xiǎng,"make sound, make noise; sound",3,503
虽,雖,雖,suī,"although, even if",2,504
推,,,tuī,"push, expel; push forward",4,505
势,勢,勢,shì,"power, force; tendency",5,506
参,參,參,cān,"take part in, intervene; ginseng",3,507
希,,,xī,"rare; hope, expect, strive for",2,508
古,,,gǔ,"old, classic, ancient",5,509
众,衆,衆,zhòng,"multitude, crowd; masses, public",4,510
构,構,構,gòu,"frame, building, structure",5,511
房,,,fáng,"house, building; room",2,512
半,,,bàn,half,3,513
节,節,節,jié,"knot, node, joint; section",3,514
土,,,tǔ,"soil, earth; items made of earth",5,515
投,,,tóu,"throw, cast, fling, pitch; jump",5,516
某,,,mǒu,certain thing or person,5,517
案,,,àn,"table, bench; legal case",4,518
黑,,,hēi,"black; dark; evil, sinister",2,519
维,維,維,wéi,"maintain, preserve, safeguard",5,520
革,,,gé,"leather, animal hides; rad. 177",5,521
划,劃,劃,huà,to row or paddle boat; to scratch,4,522
敌,敵,敵,dí,"enemy, foe, rival; resist",5,523
致,,,zhì,"send, deliver, present; cause",5,524
陈,陳,陳,chén,"exhibit, display; plead; a surname",6,525
律,,,lǜ,"statute, principle, regulation",4,526
足,,,zú,"foot; attain, satisfy, enough",2,527
态,態,態,tài,"manner, bearing, attitude",4,528
护,護,護,hù,"protect, guard, defend, shelter",3,529
七,,,qī,seven,1,530
兴,興,興,xìng,"thrive, prosper, flourish",1,531
派,,,pài,"school of thought, sect, branch",5,532
孩,,,hái,"baby, child; children",2,533
验,驗,驗,yàn,"test, examine, inspect; verify",4,534
责,責,責,zé,,4,535
营,營,營,yíng,"encampment, barracks; manage",5,536
星,,,xīng,"a star, planet; any point of light",1,537
够,夠,夠,gòu,"enough, adequate",4,538
章,,,zhāng,"composition; chapter, section",4,539
音,,,yīn,"sound, tone, pitch, pronunciation",3,540
跟,,,gēn,"heel; to follow, accompany; with",3,541
志,,,zhì,"purpose, will, determination; annals",4,542
底,,,dǐ,"bottom, underneath, underside",4,543
站,,,zhàn,"stand up; a stand, station",2,544
严,嚴,嚴,yán,"strict, rigorous, rigid; stern",4,545
巴,,,bā,"greatly desire, anxiously hope",5,546
例,,,lì,"precedent, example; regulation",4,547
防,,,fáng,defend; prevent; embankment,5,548
族,,,zú,"a family clan, ethnic group, tribe",4,549
供,,,gōng,"supply, provide for; offer in worship",4,550
效,,,xiào,"result, effect; effectiveness",4,551
续,續,續,xù,"continue, carry on; succeed",4,552
施,,,shī,"grant, bestow; give; act; name",5,553
留,,,liú,"stop, halt; stay, detain, keep",3,554
讲,講,講,jiǎng,explain; discuss; talk,3,555
型,,,xíng,"pattern, model, type; law; mold",5,556
料,,,liào,"consider, conjecture; materials, ingredients",3,557
