character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"囡","","","nān","","4759",""
"砺","礪","礪","lì","","4760","whetstone; sharpen"
"佘","","","shé","","4761","surname"
"谶","讖","讖","chèn","","4762","prophecy, hint, omen"
"弑","弒","弒","shì","","4763",""
"楂","","","zhā","","4764","a raft, to hew, to fell trees"
"翦","","","jiǎn","","4765","scissors; cut, clip; annhilate"
"怩","","","ní","","4766","shy, timid, bashful; look ashamed"
"蠼","","","qú","","4767",""
"霏","","","fēi","","4768","falling of snow and rain"
"楹","","","yíng","","4769","column, pillar; numerary adjunct"
"讴","謳","謳","ōu","","4770","sing; songs"
"锲","鍥","鍥","qiè","6","4771","sickle; cut, carve, engrave"
"慵","","","yōng","","4772","indolent, easy-going, lazy"
"胝","","","zhī","","4773","callous, corn"
"砭","","","biān","","4774","stone probe; pierce; counsel"
"潍","濰","濰","wéi","","4775","county in Shandong province"
"杵","","","chǔ","","4776","pestle; baton used beat clothes"
"樾","","","yuè","","4777","the shade of trees"
"帼","幗","幗","guó","","4778",""
"碣","","","jié","","4779","stone tablet"
"诌","謅","謅","zhōu","","4780","play with words, quip; talk nonse"
"徕","徠","徠","lái","","4781","induce, encourage to come"
"胴","","","dòng","","4782","the large intestine; the body"
"钴","鈷","鈷","gǔ","","4783","cobalt; household iron"
"裟","","","shā","","4784","a cassock or robe of a monk"
"啶","","","dìng","","4785","phonetic used in pyridine and pyrimidine"
"铣","銑","銑","xǐ","","4786","mill"
"铱","銥","銥","yī","","4787","iridium"
"楫","","","jí","","4788","oar, paddle"
"赭","","","zhě","","4789","reddish brown; hematite; ochre"
"碛","磧","磧","qì","","4790","sand and gravel"
"酊","","","dīng","","4791","drunk, intoxicated"
"魑","","","chī","","4792","a mountain demon resembling a tiger"
"醛","","","quán","","4793","aldehyde"
"剐","剮","剮","guǎ","","4794","cut, cut flesh from bones"
"畦","","","qí","","4795","sections in vegetable farm"
"陂","","","bēi","","4796","dam, embankment; reservoir"
"闶","閌","閌","kāng","","4797","door"
"阄","鬮","鬮","jiū","","4798","lots (to be drawn); draw lots"
"祚","","","zuò","","4799","throne; bless; blessing, happiness"
"鹘","鶻","鶻","gǔ","","4800","a kind of pigeon; treron permagna"
"泱","","","yāng","","4801","great, expansive; agitated"
"趄","","","jū","","4802","weak, lame"
"骅","驊","驊","huá","","4803","an excellent horse"
"陲","","","chuí","","4804","frontier, border"
"郧","鄖","鄖","yún","","4805","county in Hubei province"
"倜","","","tì","","4806","raise high; unrestrained"
"呤","","","lìng","","4807","purine"
"燧","","","suì","","4808","flintstone; beacon, signal fire; torch"
"铉","鉉","鉉","xuàn","","4809","device for carrying a tripod"
"粲","","","càn","","4810","polish; bright, radiant; smiling"
"骶","","","dǐ","","4811","coccyx"
"峁","","","mǎo","","4812","yellow dirt mount"
"忸","","","niǔ","","4813","blush, be bashful, be ashamed"
"渌","淥","淥","lù","","4814","strain"
"骞","騫","騫","qiān","","4815","raise, hold high; fly, soar"
"髭","","","zī","","4816","mustache"
"戡","","","kān","","4817","subjugate, subdue, quell; kill"
"钨","鎢","鎢","wū","","4818","tungsten, wolfram"
"谲","譎","譎","jué","","4819","cunning, crafty, sly, wily"
"苋","莧","莧","xiàn","","4820","amaranth"
"锃","鋥","鋥","zèng","","4821","polish"
"蜊","","","lí","","4822","clam"
"幄","","","wò","","4823","tent; mosquito net"
"闼","闥","闥","tà","","4824","door; gate"
"戕","","","qiāng","","4825","kill, slay; wound, injure, hurt"
"骊","驪","驪","lí","","4826","a pure black horse; a pair of horses"
"虢","","","guó","","4827","name of ancient feudal State in Shenxi and Hunan"
"烩","燴","燴","huì","","4828","ragout, cook, braise"
"傥","儻","儻","tǎng","","4829","if, supposing, in case"
"妲","","","dá","","4830","concubine of last ruler of the Shang dynasty"
"绌","絀","絀","chù","","4831","sew, stitch; insufficient"
"桠","椏","椏","yā","","4832","the forking branch of a tree"
"袈","","","jiā","","4833","Buddhist cassock"
"鎗","","","qiāng","","4834","rifle, small arms, hand gun"
"薮","藪","藪","sǒu","","4835","marsh, swamp; wild country"
"揿","撳","撳","qìn","","4836","press"
"杲","","","gǎo","","4837","bright sun; brilliant; high"
"肓","","","huāng","","4838","region between heart and diaphragm"
"厝","","","cuò","","4839","cut or engrave; a grave or tombstone"
"莅","蒞","蒞","lì","","4840","attend, be present; arrive at"
"氤","","","yīn","","4841","hanging fog, misty"
"缙","縉","縉","jìn","","4842","red silk"
"衮","袞","袞","gǔn","","4843","ceremonial dress worn by the emperor"
"诟","詬","詬","gòu","","4844","abuse, scold, berate, insult"
"旖","","","yǐ","","4845","romantic; tender; charming"
"硒","","","xī","","4846","selenium"
"唁","","","yàn","","4847","express condolence"
"嬗","","","shàn","","4848","succession to the throne"
"硎","","","xíng","","4849","whetstone"
"裱","","","biǎo","","4850","to mount maps or scrolls to paste"
"颦","顰","顰","pín","","4851","frown, knit brows; with knitted"
"質","","","zhì","","4852","matter, material, substance"
"靥","靨","靨","yè","","4853","dimples"
"纥","紇","紇","gē","","4854","inferior silk; tassel, fringe"
"煨","","","wēi","","4855","to stew, simmer"
"礴","","","bó","","4856","fill, extend"
"鏖","","","áo","","4857","to fight to the end, engage in a fierce battle"
"蝈","蟈","蟈","guō","","4858","small green frog; cicada"
"笏","","","hù","","4859","tablet held by someone having authority"
"羿","","","yì","","4860","legendary archer"
"鼐","","","nài","","4861","incense tripod"
"湟","","","huáng","","4862","river in qinghai province"
"甑","","","zèng","","4863","boiler for steaming rice, pot"
"炜","煒","煒","wěi","","4864","brilliant red; glowing"
"煲","","","bāo","","4865","to heat; to boil a saucepan"
"锉","銼","銼","cuò","","4866",""
"笕","筧","筧","jiǎn","","4867","bamboo water pipe"
"喑","","","yīn","","4868","to be dumb; the sobbing of infants"
"嶂","","","zhàng","","4869","cliff; mountain barrier"
"浔","潯","潯","xún","","4870","steep bank by stream; jiujiang"
"弭","","","mǐ","","4871","stop, desist, end, quell"
"妪","嫗","嫗","yù","","4872","old woman, hag"
"锂","鋰","鋰","lǐ","","4873","lithium"
"苡","","","yǐ","","4874","barley"
"孳","","","zī","","4875","breed in large numbers"
"颏","頦","頦","kē","","4876","chin"
"醴","","","lǐ","","4877","sweet wine; sweet spring"
"間","","","jiān","","4878","interval, space; place, between"
"渚","","","zhǔ","","4879","small sand bank, islet"
"轭","軛","軛","è","","4880","yoke, collar"
"鹬","鷸","鷸","yù","","4881","snipe, kingfisher"
"蚝","蠔","蠔","háo","","4882","hairy and poisonous caterpillars"
"黃","","","huáng","","4883","yellow; surname"
"膘","","","biāo","","4884","fat; rump"
"邛","","","qióng","","4885","in distress; a mound"
"痨","癆","癆","láo","","4886","consumption; tuberculosis"
"褡","","","dā","","4887","girdle; loincloth; pouch, bag"
"耦","","","ǒu","","4888","plow side by side; team of two"
"覃","","","tán","","4889","reach to, spread to; extensive"
"虛","","","xū","","4890","false, worthless; empty, hollow"
"馔","饌","饌","zhuàn","","4891","to feed, support, provide for; food"
"篾","","","miè","","4892","bamboo splints or slats"
"兖","兗","兗","yǎn","","4893","establish; one of nine empire divisions"
"阋","鬩","鬩","xì","","4894","feud, fight, quarrel"
"遨","","","áo","","4895","ramble, roam; travel for pleasure"
"爰","","","yuán","","4896","lead on to; therefore, then"
"痂","","","jiā","","4897","scab"
"艄","","","shāo","","4898","stern of a vessel"
"耨","","","nòu","","4899","hoe, rake; weed"
"沤","漚","漚","ōu","","4900","soak, steep; sodden or soaked"
"邋","","","lā","","4901","rags"
"焓","","","hán","","4902","(Cant.) onomatopoetic, the sound of a fiercely-burning fire"
"秣","","","mò","","4903","fodder, horse feed; feed horse"
"昶","","","chǎng","","4904","a long day. bright. extended. clear"
"種","","","zhǒng","","4905","seed; race; offspring; to plant"
"變","","","biàn","","4906","change, transform, alter; rebel"
"窣","","","sū","","4907","to rush out of a den; rustling, whispering"
"绦","絛","絛","tāo","","4908","silk cord, ribbon"
"俎","","","zǔ","","4909","chopping board or block; painted"
"榫","","","sǔn","","4910","mortise and tenon; fit into"
"蟪","","","huì","","4911","a kind of cicada"
"稗","","","bài","","4912","darnels, weeds, tares small"
"謇","","","jiǎn","","4913","stutter; speak out boldly"
"氩","氬","氬","yà","","4914","argonium"
"類","","","lèi","","4915","class, group, kind, category"
"锴","鍇","鍇","kǎi","","4916","high quality iron"
"龉","齬","齬","yǔ","","4917","uneven teeth; to disagree"
"烃","烴","烴","tīng","","4918","hydrocarbon"
"俣","俁","俁","yǔ","","4919","big"
"嬷","嬤","嬤","mā","","4920","mother"
"肱","","","gōng","","4921","forearm"
"鸢","鳶","鳶","yuān","","4922","kite; Milvus species (various)"
"笫","","","zǐ","","4923","bed boards, sleeping mat"
"痤","","","cuó","","4924","a swelling of the lymph nodes"
"陰","","","yīn","","4925",""
"菏","","","hé","","4926","river in Shandong province"
"莆","","","pú","","4927","a kind of legendary tree"
"芨","","","jī","","4928","name of a plant, the roots are used for various purposes"
"阕","闋","闋","què","","4929","close, shut; watch tower"
"砣","","","tuó","","4930","a stone roller; a heavy stone, a weight, a plummet"
"碜","磣","磣","chěn","","4931","gritty"
"鼹","鼴","鼴","yǎn","","4932","a kind of insectivorous rodent"
"長","","","zhǎng","","4933","long; length; excel in; leader"
"猷","","","yóu","","4934","plan, scheme; plan, plot; way"
"竽","","","yú","","4935","ancient woodwind instrument"
"舸","","","gě","","4936","large boat, barge"
"诓","誆","誆","kuāng","","4937","cheat, swindle, lie"
"錾","鏨","鏨","zàn","","4938","engraving tool, chisel"
"淬","","","cuì","","4939","temper; dye; soak; change, alter"
"隗","","","kuí","","4940","high; lofty; surname"
"悌","","","tì","","4941","brotherly, respectful"
"姘","","","pīn","","4942","illicit sexual relations"
"槭","","","qī","","4943","maple"
"邈","","","miǎo","","4944","far, distant, remote; slight"
"婕","","","jié","","4945","handsome"
"歙","","","shè","","4946",""
"稹","","","zhěn","","4947",""
"蹴","","","cù","","4948","kick; tread on; leap; solemn"
"砒","","","pī","","4949","arsenic"
"痈","癰","癰","yōng","","4950","carbuncle, sore, ulcer, abscess"
"镏","鎦","鎦","liú","","4951","distil; lutetium; surname"
"羯","","","jié","","4952","wether, castrated ram; deer skin"
"豕","","","shǐ","","4953","a pig, boar; KangXi radical 152"
"鲂","魴","魴","fáng","","4954","bream"
"蓖","","","bì","","4955","castor-oil plant, Ricinus commumis"
"匦","匭","匭","guǐ","","4956","small box; chest, casket"
"笤","","","tiáo","","4957","a broom, a besom"
"峥","崢","崢","zhēng","","4958","high, lofty, noble; steep, perilous"
"徭","","","yáo","","4959","conscript labor, compulsory labor"
"浃","浹","浹","jiā","","4960","saturate, drench; damp, wet"
"烊","","","yáng","","4961","to smelt; to melt"
"補","","","bǔ","","4962","mend, patch, fix, repair, restore"
"窸","","","xī","","4963","faint sound, whisper"
"酆","","","fēng","","4964","name of Zhou period state"
"缢","縊","縊","yì","","4965","hang, strangle"
"褓","","","bǎo","","4966","swaddling cloth; infancy"
"蚨","","","fú","","4967","a kind of water-beetle cash, then dollars and money generally"
"翳","","","yì","","4968","shade, screen; to hide, screen"
"趔","","","liè","","4969","not progressing; to be checked"
"炔","","","guì","","4970","acetylene"
"誊","謄","謄","téng","","4971","copy, transcribe"
"赜","賾","賾","zé","","4972","abstruse, deep, profound"
"仃","","","dīng","","4973","lonely, solitary"
"勖","","","xù","","4974","enjoin, advise, preach to"
"葺","","","qì","","4975","thatch; fix, repair; pile up"
"蚴","","","yòu","","4976","larva"
"泷","瀧","瀧","lóng","","4977","raining; wet; soaked; a river in Guangdong"
"蛴","蠐","蠐","qí","","4978","maggots, grubs"
"結","","","jié","","4979","knot, tie; join, connect"
"媸","","","chī","","4980","an ugly woman"
"俳","","","pái","","4981","actor; vaudeville show; insincere"
"诖","詿","詿","guà","","4982","error, mistake; deceive, mislead"
"茑","蔦","蔦","niǎo","","4983","the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum"
"逡","","","qūn","","4984","retreat, withdraw, fall back"
"孱","","","càn","","4985","weak, unfit, frail, feeble"
"砦","","","zhài","","4986","stockade, fort, military outpost; brothel"
"跸","蹕","蹕","bì","","4987","clear way, make room for; emp"
"祜","","","hù","","4988","blessing, happiness, prosperity"
"伉","","","kàng","","4989","compare, match; pair; spouse"
"溴","","","xiù","","4990","bromine"
"屐","","","jī","","4991","wooden shoes, clogs"
"飚","飈","飈","biāo","","4992","whirlwind"
"蛞","","","kuò","","4993","snail; slug, mole cricket"
"鏡","","","jìng","","4994","mirror; lens; glass; glasses"
"掮","","","qián","","4995","to bear on the shoulders"
"崆","","","kōng","","4996","Kongtong mountain"
"庾","","","yǔ","","4997","granary; storehouse"
"橛","","","jué","","4998","a post, a stake; an axle"
"矸","","","gān","","4999","a rock or cliff"
"鸨","鴇","鴇","bǎo","","5000","bustard; procuress; Otis species (various)"
"圻","","","qí","","5001","border, boundary"
"缂","緙","緙","kè","","5002","the woof of a woven item"
"蒯","","","kuǎi","","5003","a rush, of which various things are made"
"诹","諏","諏","zōu","","5004","consult, confer; select, choose"
"啭","囀","囀","zhuàn","","5005","sing, chirp, warble, twitter"
"饧","餳","餳","táng","","5006","sugar, syrup; malt sugar; sticky"
"镉","鎘","鎘","gé","","5007","cadmium"
"鸪","鴣","鴣","gū","","5008","species of Taiwan pigeon"
"蛩","","","qióng","","5009","cricket, locust; anxious"
"蠖","","","huò","","5010","inch-worm; looper caterpiller"
"說","","","shuō","","5011","speak, say, talk; scold, upbraid"
"劭","","","shào","","5012","encourage; to excel; excellent"
"哐","","","kuāng","","5013","syllable"
"崧","","","sōng","","5014","high mountain; lofty, eminent"
"杼","","","zhù","","5015","shuttle of loom; narrow; long-headed; a scrub oak; thin"
"棂","欞","欞","líng","","5016","carved or patterned window sills"
"螫","","","shì","","5017","poison; sting; poisonous insect"
"龃","齟","齟","jǔ","","5018","irregular teeth; discord"
"饔","","","yōng","","5019","breakfast; eat prepared food"
"遑","","","huáng","","5020","leisure, leisurely; hurry about"
"颢","顥","顥","hào","","5021","luminous; white, hoary"
"腱","","","jiàn","","5022","tendons"
"襁","","","qiǎng","","5023","swaddling clothes"
"忾","愾","愾","kài","","5024","anger, wrath, hatred, enmity"
"濠","","","háo","","5025","moat, trench, ditch"
"牝","","","pìn","","5026","female of species; deep gorge"
"蛄","","","gū","","5027","mole cricket"
"鲆","鮃","鮃","píng","","5028","sole"
"嗄","","","á","","5029","hoarse of voice"
"灏","灝","灝","hào","","5030","vast, large, grand, expansive"
"疥","","","jiè","","5031","scabies, itch"
"苜","","","mù","","5032","clover"
"荞","蕎","蕎","qiáo","","5033","buckwheat"
"嘣","","","bēng","","5034","syllable"
"夤","","","yín","","5035","distant place; remote; deep"
"砝","","","fá","","5036","balance weights"
"颞","顳","顳","niè","","5037","the temporal bone"
"開","","","kāi","","5038","open; initiate, begin, start"
"忤","","","wǔ","","5039","insubordinate, stubborn; wrong"
"遢","","","tà","","5040","careless, negligent, slipshod"
"旎","","","nǐ","","5041","fluttering of flag; romantic"
"瘛","","","chì","","5042",""
"魉","魎","魎","liǎng","","5043","a kind of monster"
"辇","輦","輦","niǎn","","5044","hand-cart; transport by carriage"
"見","","","jiàn","","5045","see, observe, behold; perceive"
"瓤","","","ráng","","5046","flesh, core, pulp, pith"
"荥","滎","滎","xíng","","5047","a county in Henan; the rising and dashing of waves"
"涫","","","guàn","","5048",""
"娌","","","lǐ","","5049",""
"氚","","","chuān","","5050","tritium"
"臁","","","lián","","5051","calf of the leg"
"毂","轂","轂","gǔ","","5052","hub of wheel"
"碇","","","dìng","","5053","anchor"
"毖","","","bì","","5054","guard against, take care; caution"
"壅","","","yōng","","5055","to obstruct"
"吡","","","bǐ","","5056","blame"
"缛","縟","縟","rù","","5057","decorative, adorned, elegant"
"玮","瑋","瑋","wěi","","5058","type of jade; rare, valuable"
"羟","羥","羥","qiǎng","","5059","hydroxide"
"還","","","hái","","5060","still, yet, also, besides"
"珈","","","jiā","","5061",""
"颀","頎","頎","qí","","5062","tall and slim"
"虼","","","gè","","5063","a flea; species of beetle"
"祇","","","qí","","5064","the spirit of the earth; (used for"
"佝","","","gōu","","5065","rickets"
"翕","","","xī","","5066","agree"
"遴","","","lín","","5067","select, choose; surname"
"珏","","","jué","","5068","two pieces of jade joined together"
"郛","","","fú","","5069","outer walls of city; suburbs"
"較","","","jiào","","5070","compare; comparatively, more"
"驗","","","yàn","","5071","test, examine, inspect; verify"
"玖","","","jiǔ","","5072","black-colored jade"
"蹇","","","jiǎn","","5073","lame, crippled; unlucky"
"逋","","","bū","","5074","flee, run away, leave debt unsettled"
"氅","","","chǎng","","5075","overcoat; down feathers"
"粽","糉","糉","zòng","","5076","dumpling made of glutinous rice"
"诂","詁","詁","gǔ","","5077","exegesis, explanation; explain"
"岢","","","kě","","5078",""
"聒","","","guā","","5079","clamor, din, hubbub"
